alt	pente	densi	haut	diam	proce
1200	22	1	4	14.8	2.37
1342	28	8	4.4	18	1.47
1231	28	5	2.4	7.8	1.13
1254	28	18	3	9.2	0.85
1357	32	7	3.7	10.7	0.24
1250	27	1	4.4	14.8	1.49
1422	37	22	3	8.1	0.3
1309	46	7	5.7	19.6	0.07
1127	24	2	3.5	12.6	3
1075	34	9	4.3	12	1.21
1166	24	17	5.5	16.7	0.38
1182	41	32	5.4	21.6	0.7
1179	15	0	3.2	10.5	2.64
1256	21	0	5.1	19.5	2.05
1251	16	2	4.2	16.4	1.75
1536	38	31	5.7	17.8	0.06
1554	27	20	5.6	20.2	0.13
1305	30	6	3.8	15.7	1
1316	34	8	3.1	11.4	0.41
1427	39	19	4.6	15.2	0.72
1575	20	32	5.2	18.9	0.67
1397	26	16	4.2	14.8	0.12
1377	29	4	5.3	19.8	0.97
1574	24	23	5.2	17.8	0.07
1396	45	13	4.7	15.2	0.1
1393	27	5	4.7	18.3	0.68
1433	23	18	6.5	21	0.13
1349	24	1	2.7	5.8	0.2
1208	23	2	3.5	11.5	1.09
1198	28	15	3.9	11.3	0.18
1228	31	6	5.4	21.8	0.35
1229	21	11	5.8	16.7	0.21
1310	36	17	5.2	17.8	0.03
